topic_title,description
Program Repair,Discusses automated generation of refactored code recommendations (via RAG + fine-tuned LLMs) to fix performance-related code smells such as lock contention in Java.
Software Security Patching,"Mentions identifying and prioritizing security patches, including undisclosed patches, using data from version control systems and CVE/CVSS context."
Machine Learning for Software Engineering,"Uses deep learning/NLP models (e.g., RoBERTa, CodeBERT, LSTM/GRU/CNN) to classify Git commits and analyze code patches and commit messages."
Software Repository Mining,"Analyzes Git/GitHub repository artifacts and developer behavioral/metadata (events, commits, forks, issues, PRs) to infer properties such as whether a commit is a security patch."
Software Engineering Benchmarks,Focuses on designing an evaluation framework/benchmark (LONG CODEU) and metrics for assessing long code understanding in LCLMs.
Code Summarization,"Automatically generating natural-language summaries for code artifacts (functions, files, packages, repositories), including hierarchical summarization grounded in business/domain context."
Software Performance and Energy Efficiency,"Evaluates runtime performance and energy consumption (Joules, execution time) of software/code (including LLM-generated code) across languages and platforms for sustainability and efficiency."
Program Optimization with Large Language Models,Iterative improvement of program code using LLM-guided edits based on structured execution feedback and traces.
LLM-Generated Code Correctness Assessment,"Techniques for predicting whether LLM-generated code is correct (e.g., via probing internal hidden states) without relying solely on post-hoc testing."
Vulnerability Severity Scoring,Predicts/assesses vulnerability severity scores and CVSS vectors/metrics from vulnerability descriptions (automated vulnerability scoring).
Vulnerability Detection,"Focuses on detecting vulnerabilities in source code (C/C++), comparing SAST, deep learning, and LLM-based detectors, including binary and multi-label classification."
Computing Education,"Focuses on programming education, including automated generation and evaluation of personalized programming exercises and learner feedback."
Automated Test Case Generation,Focuses on synthesizing and filtering large-scale test cases for programming problems to enable verification and training signals.
Code Completion,"Techniques and evaluations for predicting next code tokens/lines in IDE-like settings, including retrieval-based augmentation and model fine-tuning for completion quality and latency."
Program Synthesis,"Focuses on synthesizing code search programs from programming-by-example plus natural language, using version spaces and interactive QA disambiguation."
